timestamp,frame_differencing,background_subtraction,contour_detection,ssim,mean
2025-03-16 01:01:25,18.43,2.59,18.51,16.64,14.04
2025-03-16 01:01:26,17.28,2.37,17.63,16.5,13.45
2025-03-16 01:01:27,17.98,2.45,17.32,16.58,13.59
2025-03-16 01:01:27,,,,,
2025-03-16 01:01:28,,,,,
2025-03-16 01:01:28,18.46,2.61,18.56,16.51,14.03
2025-03-16 01:01:28,,,,,
2025-03-16 01:01:28,,,,,
2025-03-16 01:01:29,18.72,2.59,18.35,16.34,14.0
2025-03-16 01:01:30,18.94,2.66,18.96,16.58,14.29
2025-03-16 01:01:31,,,,,
2025-03-16 01:01:31,21.43,3.48,22.11,16.93,15.99
2025-03-16 01:01:31,,,,,
2025-03-16 01:01:31,,,,,
2025-03-16 01:01:32,,,,,
2025-03-16 01:01:32,20.74,3.17,21.22,16.6,15.43
2025-03-16 01:01:33,18.79,2.46,18.32,16.75,14.08
2025-03-16 01:01:34,18.49,2.4,18.19,16.52,13.9
2025-03-16 01:01:35,18.62,2.54,18.34,16.51,14.0
2025-03-16 01:01:36,18.77,2.76,18.72,16.38,14.16
2025-03-16 01:01:36,,,,,
2025-03-16 01:01:37,18.46,2.68,17.62,16.48,13.81
2025-03-16 01:01:38,20.21,3.1,20.97,16.55,15.21
2025-03-16 01:01:39,20.99,3.24,21.89,16.56,15.67
2025-03-16 01:01:40,24.02,8.41,24.49,19.11,19.01
2025-03-16 01:01:41,32.18,11.4,33.11,24.14,25.21
2025-03-16 01:01:42,33.13,7.49,34.46,19.96,23.76
2025-03-16 01:01:43,19.66,3.32,20.6,17.08,15.16
2025-03-16 01:01:44,,,,,
2025-03-16 01:01:44,20.06,3.19,20.39,16.81,15.11
2025-03-16 01:01:44,,,,,
2025-03-16 01:01:44,,,,,
2025-03-16 01:01:45,22.88,4.0,23.42,17.31,16.9
2025-03-16 01:01:46,22.96,4.1,24.37,16.93,17.09
2025-03-16 01:01:47,20.88,3.55,22.23,16.92,15.89
2025-03-16 01:01:48,,,,,
2025-03-16 01:01:48,19.44,3.0,20.25,17.03,14.93
2025-03-16 01:01:49,17.34,2.68,17.96,17.23,13.8
2025-03-16 01:01:50,17.42,2.59,17.42,17.23,13.66
2025-03-16 01:01:52,17.55,2.55,17.31,16.91,13.58
2025-03-16 01:01:53,17.39,2.99,16.74,16.81,13.48
2025-03-16 01:01:54,17.63,2.69,16.7,16.9,13.48
2025-03-16 01:01:55,20.65,3.67,21.24,17.31,15.72
2025-03-16 01:01:56,21.17,3.83,21.69,17.13,15.96
2025-03-16 01:01:57,23.25,4.31,22.72,17.3,16.9
2025-03-16 01:01:57,,,,,
2025-03-16 01:01:58,21.78,3.81,22.29,16.98,16.22
2025-03-16 01:01:59,20.18,3.38,20.84,17.28,15.42
2025-03-16 01:02:00,19.79,3.24,19.94,17.14,15.03
2025-03-16 01:02:00,,,,,
2025-03-16 01:02:00,,,,,
2025-03-16 01:02:00,,,,,
2025-03-16 01:02:01,18.91,2.94,18.3,17.19,14.33
2025-03-16 01:02:01,,,,,
2025-03-16 01:02:02,20.7,3.41,21.15,17.1,15.59
2025-03-16 01:02:03,,,,,
